Iteration no.;Iteration time (ms)
0;0.049900
1;0.063500
2;0.040600
3;0.025200
4;0.054600
5;0.049900
6;0.152500
7;0.031200
8;0.028900
9;0.065800
10;0.023300
11;0.040100
12;0.804800
13;0.071400
14;0.033100
15;0.075600
16;0.064400
17;0.083500
18;0.070900
19;0.252400
20;0.050800
21;0.049000
22;0.072800
23;0.035900
24;0.043400
25;0.646100
26;0.032600
27;0.083500
28;0.049500
29;0.043400
30;0.090500
31;0.064400
32;0.168400
33;0.059800
34;0.034100
35;0.036400
36;0.038200
37;0.049500
38;0.582300
39;0.047200
40;0.057400
41;0.100800
42;0.055900
43;0.125900
44;0.096600
45;0.315800
46;0.040600
47;0.052200
48;0.042900
49;0.052700
50;0.046200
51;0.602700
52;0.051800
53;0.039700
54;0.054100
55;0.067200
56;0.085400
57;0.094700
58;0.224800
59;0.053200
60;0.037300
61;0.044300
62;0.036300
63;0.035000
64;0.781400
65;0.049000
66;0.036300
67;0.044800
68;0.040600
69;0.113800
70;0.074600
71;0.243600
72;0.052200
73;0.071800
74;0.035000
75;0.061100
76;0.045800
77;0.835600
78;0.048100
79;0.039700
80;0.050400
81;0.047200
82;0.103600
83;0.064400
84;0.283700
85;0.050300
86;0.046200
87;0.034500
88;0.045300
89;0.058300
90;0.480600
91;0.067200
92;0.083500
93;0.050400
94;0.081200
95;0.054100
96;0.098000
97;0.173500
98;0.036900
99;0.034500
100;0.074200
101;0.054600
102;0.043400
103;1.006400
104;0.054100
105;0.038800
106;0.042500
107;0.044800
108;0.059700
109;0.100300
110;0.275800
111;0.051300
112;0.069000
113;0.037300
114;0.049000
115;0.045800
116;0.544500
117;0.048500
118;0.053600
119;0.052300
120;0.045200
121;0.083900
122;0.072800
123;0.235200
124;0.056500
125;0.035900
126;0.039200
127;0.050800
128;0.069500
